elapsed_s,produced,acked,send_rejects,delivery_errors,consumed,duplicates,reordered,open_gaps,parse_errors,win_p50_us,win_p99_us,win_max_us,rss_mib,producer_retries,producer_lib_errors,rebalances,consumer_restarts,wedges
10,10050,10000,0,0,10755,755,631,0,0,15907,1293799,2140462,12.5,0,0,2,0,0
20,20050,20000,0,0,20755,755,631,0,0,13278,33166,35024,12.6,0,0,2,0,0
30,30050,30000,0,0,30755,755,631,0,0,13408,28224,43289,12.7,0,0,2,0,0
40,40050,40000,0,0,40755,755,631,0,0,13553,21962,25833,12.8,0,0,2,0,0
50,50050,50050,0,0,50805,755,631,0,0,12599,23528,40524,12.8,0,0,2,0,0
60,60050,60050,0,0,60805,755,631,0,0,12401,25966,29002,12.8,0,0,2,0,0
70,70050,70050,0,0,70805,755,631,0,0,11978,25947,34993,12.8,0,0,2,0,0
80,80050,80050,0,0,80805,755,631,0,0,11497,25081,28925,12.9,0,0,2,0,0
90,90050,90050,0,0,90805,755,631,0,0,10947,20010,23805,12.9,0,0,2,0,0
100,100050,100050,0,0,100805,755,631,0,0,12935,19524,26398,12.9,0,0,2,0,0
110,110100,110050,0,0,110805,755,631,0,0,11990,21442,35861,12.9,0,0,2,0,0
120,120100,120050,0,0,120805,755,631,0,0,12891,18947,21176,12.9,0,0,2,0,0
130,130100,130050,0,0,130831,755,631,0,0,12528,18220,20379,12.9,0,0,2,0,0
140,140100,140100,0,0,140855,755,631,0,0,11480,18545,19499,12.9,0,0,2,0,0
150,150100,150100,0,0,150855,755,631,0,0,11738,19768,22224,12.9,0,0,2,0,0
160,160100,160100,0,0,160855,755,631,0,0,12286,18503,20248,10.5,0,0,2,0,0
170,170100,170100,0,0,170855,755,631,0,0,11904,18477,19557,10.5,0,0,2,0,0
180,180100,180100,0,0,180855,755,631,0,0,12242,17546,18162,10.5,0,0,2,0,0
190,190100,190100,0,0,190855,755,631,0,0,11669,17414,18438,10.5,0,0,2,0,0
200,200100,200100,0,0,200855,755,631,0,0,12199,19684,22178,10.5,0,0,2,0,0
210,210150,210100,0,0,210855,755,631,0,0,12249,17520,19136,10.5,0,0,2,0,0
220,220150,220100,0,0,220855,755,631,0,0,12255,19311,25167,10.5,0,0,2,0,0
230,230150,230150,0,0,230905,755,631,0,0,12051,16985,20763,10.5,0,0,2,0,0
240,240150,240150,0,0,240905,755,631,0,0,11766,17110,23020,10.5,0,0,2,0,0
250,250150,250150,0,0,250905,755,631,0,0,11670,16937,17589,10.5,0,0,2,0,0
260,260150,260150,0,0,260905,755,631,0,0,12014,18419,20054,10.5,0,0,2,0,0
270,270150,270150,0,0,270905,755,631,0,0,12314,16596,17490,10.5,0,0,2,0,0
280,280150,280150,0,0,280905,755,631,0,0,11879,19928,23900,10.5,0,0,2,0,0
290,290150,290150,0,0,290905,755,631,0,0,11538,16034,16422,10.5,0,0,2,0,0
300,300150,300150,0,0,300905,755,631,0,0,12413,17159,24644,10.7,0,0,2,0,0
310,310200,310150,0,0,310905,755,631,0,0,12476,17048,18297,10.8,0,0,2,0,0
320,320200,320150,0,0,320905,755,631,0,0,12066,17908,23060,10.8,0,0,2,0,0
330,330200,330200,0,0,330955,755,631,0,0,12005,18081,20292,10.8,0,0,2,0,0
340,340200,340200,0,0,340955,755,631,0,0,12531,18810,23318,10.8,0,0,2,0,0
350,350200,350200,0,0,350955,755,631,0,0,12768,17636,19506,10.8,0,0,2,0,0
